product_name,eco_score,eco_signal,organic_badge,lang_da,green_words,category,labels_tags,languages_tags,countries_tags
"Gum, Sugar Free, Strawberry with Kiwi",,0,0,0,0,Sugar-free chewing gum,,<na>,en:denmark
Grape tomatoes,,0,0,0,0,unknown,,<na>,en:denmark
Gnocchi Pomodoro & Mozzarella,,0,0,0,0,unknown,,<na>,en:denmark
Biscuits/Cookie TRADITION 1905 (2X37g),D,0,0,0,0,Biscuits,,<na>,en:denmark
Black Pepper Lentil Crackers,B,1,0,0,0,Crackers(Appetizers),,<na>,en:denmark
Proteinbar,,0,0,0,0,unknown,,<na>,en:denmark
6 Wheat Pita Bread,,0,0,0,0,unknown,,<na>,en:denmark
Baby Me Now,,0,0,0,0,unknown,,<na>,en:denmark
Magnesium Citrat,,0,0,0,0,unknown,"en:vegetarian,en:vegan",<na>,en:denmark
Magnesium Glycenate,,0,0,0,0,unknown,,<na>,en:denmark
Danish luxury cookies,C,0,0,0,0,it:biscotti-danesi,en:green-dot,<na>,"en:austria,en:denmark,en:italy"
Plantain Chips,E,0,0,0,0,Dried bananas,,<na>,"en:denmark,en:switzerland"
Cream Cheese,,0,0,0,0,unknown,,<na>,en:denmark
Hakket oksekød 8-12%,,0,0,1,0,unknown,,<na>,en:denmark
Pretzel Smoky,,0,0,0,0,unknown,,<na>,en:denmark
Sriracha Hot Chilli Sås,,0,0,1,0,Groceries,"en:vegetarian,en:no-gluten,en:halal,en:no-gmos,en:vegan",<na>,"en:denmark,en:france,en:sweden,en:united-kingdom,en:united-states"
Panettone Classico,,0,0,0,0,unknown,,<na>,en:denmark
90g Carb Gel,,0,0,0,0,unknown,,<na>,en:denmark
The P!k Bix,,0,0,0,0,unknown,,<na>,en:denmark
Sesam Knækbrød,,0,0,1,0,unknown,,<na>,en:denmark
Burgerboller,,0,0,0,0,unknown,,<na>,en:denmark
Ost - coop 365,,0,0,0,0,unknown,,<na>,en:denmark
Begge,,0,0,0,0,unknown,,<na>,en:denmark
Pommes Gigante,,0,0,0,0,unknown,,<na>,en:denmark
Butterdej,,0,0,0,0,unknown,,<na>,en:denmark
Chili Peanuts Crunchy,,0,0,0,0,unknown,,<na>,en:denmark
Pølsehornspølser,,0,0,1,0,unknown,,<na>,en:denmark
Avocado oil,E,0,0,0,0,Coconut oils,,<na>,"en:denmark,en:united-kingdom"
Tender Beef Jerky Hot,,0,0,0,0,unknown,,<na>,en:denmark
Crispy Coated Peanuts,,0,0,0,0,unknown,,<na>,en:denmark
Applesauce,,0,0,0,0,unknown,,<na>,en:denmark
Berberine Andebryststeg Med Ben,,0,0,0,0,unknown,,<na>,en:denmark
Pop candy blueberry flavour,C,0,0,0,0,Candies,fr:fabrique-en-chine,<na>,"en:denmark,en:france,en:norway,en:sweden"
Bitter gelly boats,,0,0,0,0,Bonbons,,<na>,en:denmark
Sour & fizzy boiled sweets,C,0,0,0,0,Candies,,<na>,en:denmark
Cynamon,,0,0,0,0,Cinnamon sticks,,<na>,"en:czech-republic,en:denmark,en:estonia,en:finland,en:latvia,en:lithuania,en:norway,en:poland,en:romania,en:slovakia,en:sweden"
Menthol extra strong,,0,0,0,0,unknown,,<na>,"en:denmark,en:germany"
dr.oetker,,0,0,0,0,unknown,,<na>,en:denmark
Hummus spicy with red pepper,A,1,0,0,0,Red pepper hummus,"en:vegetarian,en:vegan,en:european-vegetarian-union,en:european-vegetarian-union-vegan",<na>,en:denmark
Mesterpålæg Roastbeef,,0,0,1,0,unknown,,<na>,en:denmark
nutella,,0,0,0,0,unknown,,<na>,en:denmark
Country style ribs,,0,0,0,0,unknown,,<na>,en:denmark
Svampe Risotto,,0,0,0,0,unknown,,<na>,en:denmark
七種具材の彩り海鮮丼,,0,0,0,0,Sushi rice,,<na>,en:denmark
Kyllinge Pølse,,0,0,1,0,unknown,en:keyhole,<na>,en:denmark
Kalkunspegepølse,E,0,0,1,0,Cooked turkey breast slices,en:keyhole,<na>,en:denmark
Sandwichskinke,,0,0,0,0,Hams,en:keyhole,<na>,en:denmark
Æbleskiver Dybfrosne,,0,0,1,0,unknown,,<na>,en:denmark
Græskarrugbrød,,0,0,1,0,unknown,,<na>,en:denmark
Fastelavnsbolle Med 16% Flødecreme,,0,0,1,0,unknown,,<na>,en:denmark
Drømmekage,,0,0,1,0,unknown,,<na>,en:denmark
Finvalsede Havregryn,B,1,1,1,0,Oat,"en:organic,en:keyhole,en:eu",<na>,en:denmark
Organic butter beans,A,1,1,0,1,Butter beans,"en:organic,en:eu-organic,en:fsc,en:fsc-mix,en:it-bio-009,en:keyhole",<na>,en:denmark
Emmentaler,D,0,0,0,0,Emmentaler,,<na>,en:denmark
gifflar,,0,0,0,0,unknown,,<na>,en:denmark
Ranch Lentil Rings,,0,0,0,0,unknown,"en:vegetarian,en:vegan",<na>,en:denmark
Princip glaze,,0,0,0,0,da:marinade,,<na>,en:denmark
remoulade,,0,0,1,0,da:remoulade,,<na>,en:denmark
Små Økologiske Kartofler,,0,0,1,1,unknown,,<na>,en:denmark
Minimælk,D,0,0,1,0,Cow milks,,<na>,en:denmark
protein chocolate,E,0,0,0,0,Protein shakes,en:no-lactose,<na>,en:denmark
Protein Bar Cookie Dough,,0,0,0,0,unknown,,<na>,en:denmark
rofiola nonno nanni,,0,0,0,0,unknown,,<na>,en:denmark
Mhamad Nasree,,0,0,0,0,unknown,,<na>,en:denmark
Mørbrad Gris,,0,0,1,0,unknown,,<na>,en:denmark
Torpedorejer,,0,0,0,0,unknown,"en:responsible-aquaculture,en:responsible-aquaculture-asc",<na>,en:denmark
Hvide Skrællede Aspargesnitter,B,1,0,1,0,Canned white asparagus,,<na>,en:denmark
Mozzarella Klump,,0,0,0,0,unknown,,<na>,en:denmark
Kiełbasa Toruńska,,0,0,0,0,unknown,,<na>,en:denmark
Vanilla Strawberry Swirl,,0,0,0,0,Frozen desserts,,<na>,en:denmark
Legumes pour wok,,0,0,0,0,unknown,,<na>,en:denmark
Thon blanc,,0,0,0,0,unknown,,<na>,en:denmark
Forcapil,,0,0,0,0,unknown,,<na>,en:denmark
Rustica,,0,0,0,0,unknown,,<na>,en:denmark
Vinaigrette aux fines herbes allégées,,0,0,0,0,unknown,,<na>,en:denmark
Épinards surgelés,,0,0,0,0,unknown,,<na>,en:denmark
Pipoca chocolate,,0,0,0,0,unknown,,<na>,en:denmark
Tofu Lactofermente Pesto,,0,0,0,0,unknown,,<na>,en:denmark
Multiseed bread,,0,0,0,0,unknown,,<na>,en:denmark
Cadbury yoghurt frutilla chocolate,,0,0,0,0,unknown,,<na>,en:denmark
Hvidløgs Baguette,,0,0,1,0,unknown,,<na>,en:denmark
Flødeboller (Små),,0,0,1,0,unknown,,<na>,en:denmark
Bagerens Pizzadej,,0,0,0,0,unknown,,<na>,en:denmark
Tango Nestlé,,0,0,0,0,unknown,,<na>,en:denmark
Carottes apéro,,0,0,0,0,unknown,,<na>,en:denmark
Legendary bbq chips,,0,0,0,0,unknown,,<na>,en:denmark
Croustillants de limande,,0,0,0,0,unknown,,<na>,en:denmark
Cheerywine drink,,0,0,0,0,unknown,,<na>,en:denmark
Collagen Peptites,,0,0,0,0,unknown,,<na>,en:denmark
Meat-Free Meatballs,,0,0,0,0,unknown,,<na>,en:denmark
Stenger Cola-Bembel,,0,0,0,0,unknown,,<na>,en:denmark
Son  d’avoine,,0,0,0,0,unknown,,<na>,en:denmark
Energy drink morango e pêssego - Baly - Baly - Baly - Baly,,0,0,0,0,unknown,,<na>,en:denmark
Cake citron courgettes,,0,0,0,0,unknown,,<na>,en:denmark
Dumping a la vapeur - Bibigo,,0,0,0,0,unknown,,<na>,en:denmark
Avoine et brisure de chocolat - Complimentd,,0,0,0,0,unknown,,<na>,en:denmark
Cake myrtille,,0,0,0,0,unknown,,<na>,en:denmark
Chiquetailles de hareng-saur,,0,0,0,0,unknown,,<na>,en:denmark
Kokosový krém s kakaem,,0,0,0,0,unknown,,<na>,en:denmark
Protéines banane fraiss,,0,0,0,0,unknown,,<na>,en:denmark
Kibe,,0,0,0,0,unknown,,<na>,en:denmark
Grainea,,0,0,0,0,unknown,,<na>,en:denmark
Whey morango,,0,0,0,0,unknown,,<na>,en:denmark
Whole grain corn chips,,0,0,0,0,unknown,,<na>,en:denmark
Pingo Bell - Doces Belmonte,,0,0,0,0,unknown,,<na>,en:denmark
Pâte à tartiner aux amandes,,0,0,0,0,unknown,"en:vegetarian,en:vegan",<na>,en:denmark
Granola light,,0,0,0,0,unknown,,<na>,en:denmark
Requeijão,,0,0,0,0,unknown,,<na>,en:denmark
Splash Protein Drink,,0,0,0,0,unknown,,<na>,en:denmark
"Files de sardines  (citron et basilic, sans huile)",,0,0,0,0,unknown,en:no-artificial-flavors,<na>,en:denmark
Pâte feuilletée sans gluten,,0,0,0,0,unknown,en:no-gluten,<na>,en:denmark
Ayran (tam yağlı),,0,0,0,0,unknown,,<na>,en:denmark
Mango plátky bez so2,,0,0,0,0,unknown,,<na>,en:denmark
Whey,,0,0,0,0,unknown,,<na>,en:denmark
Pão de queijo congelado tradicional,,0,0,0,0,unknown,,<na>,en:denmark
Lomo adobado,,0,0,0,0,unknown,,<na>,en:denmark
Barra de proteína,,0,0,0,0,unknown,,<na>,en:denmark
Chocolate latte,,0,0,0,0,unknown,,<na>,en:denmark
Filet de sardines,,0,0,0,0,unknown,,<na>,en:denmark
Salakis basilic,,0,0,0,0,unknown,,<na>,en:denmark
Ildefonso,,0,0,0,0,unknown,,<na>,en:denmark
bastogne,C,0,0,0,0,Dry biscuits,,<na>,en:denmark
Arizona Green Tea,,0,0,0,1,unknown,,<na>,en:denmark
Peach Ice Tea,D,0,0,0,0,Iced teas,en:green-dot,<na>,en:denmark
Mandler ristede og saltede,,0,0,0,0,da:mandler-ristede-og-saltede,,<na>,en:denmark
Uraippu,,0,0,0,0,unknown,,<na>,en:denmark
Watermelon,,0,0,0,0,unknown,,<na>,"en:denmark,en:united-states"
Real mass weight gainer strawberry milkshake,,0,0,0,0,unknown,,<na>,en:denmark
Truffles At Chocolat,,0,0,0,0,unknown,,<na>,en:denmark
Buffalo Chicken Wing Sauce,,0,0,0,0,unknown,,<na>,en:denmark
chicken,,0,0,0,0,unknown,,<na>,en:denmark
Natural Medjoul Dates,,0,0,0,1,unknown,,<na>,en:denmark
Toffee Caramel,,0,0,0,0,unknown,,<na>,en:denmark
Chocolate Orange Protein,,0,0,0,0,unknown,,<na>,en:denmark
Makrel Filet,,0,0,0,0,unknown,,<na>,en:denmark
Haribo Matador Mix,D,0,0,0,0,Candies,,<na>,en:denmark
Fiskekaker,,0,0,0,0,unknown,,<na>,en:denmark
Citius,,0,0,0,0,unknown,,<na>,en:denmark
mayonnaise,D,0,0,0,0,Mayonnaises,,<na>,en:denmark
rooibos original,A,1,0,0,0,Rooibos mixes,"en:green-dot,en:rainforest-alliance",<na>,"en:czech-republic,en:denmark,en:hungary,en:netherlands,en:slovakia"
Tiqle sticks boisson goût fraise,,0,0,0,0,Dehydrated beverages,"en:low-or-no-sugar,en:no-sugar,fr:triman",<na>,"en:albania,en:algeria,en:andorra,en:argentina,en:australia,en:austria,en:belgium,en:canada,en:colombia,en:croatia,en:czech-republic,en:denmark,en:estonia,en:finland,en:france,en:germany,en:greece,en:hungary,en:iceland,en:ireland,en:italy,en:japan,en:jersey,en:liechtenstein,en:luxembourg,en:malta,en:mexico,en:peru,en:poland,en:slovakia,en:slovenia,en:spain,en:sweden,en:switzerland,en:united-kingdom,en:united-states"
Protein Wafer,,0,0,0,0,unknown,en:made-in-germany,<na>,en:denmark
Magnesium GLY-MAL,,0,0,0,0,Dietary supplements,"en:vegetarian,en:vegan",<na>,"en:denmark,en:norway,en:sweden"
Bondebrød,,0,0,1,0,unknown,,<na>,en:denmark
Starbucks TripleShot Espresso,,0,0,0,0,unknown,,<na>,en:denmark
Little Sumpin',C,0,0,0,0,Amber beers,"en:not-advised-for-specific-people,en:green-dot,en:not-advised-for-pregnant-women,en:18,en:drinkaware,en:no-car",<na>,"en:denmark,en:france,en:italy,en:netherlands,en:norway,en:spain,en:sweden,en:switzerland,en:united-kingdom"
Butter Chicken,,0,0,0,0,unknown,,<na>,en:denmark
Smoothie Apple Banana Kiwi,,0,0,0,0,unknown,,<na>,en:denmark
vanilla whey 100,,0,0,0,0,Protein powders,en:no-added-sugar,<na>,en:denmark
Köln,,0,0,0,0,unknown,en:no-added-sugar,<na>,en:denmark
Sats Protein Bar,,0,0,0,0,unknown,,<na>,en:denmark
Huge whey chocolate peanut butter,,0,0,0,0,unknown,,<na>,en:denmark
White Wine Vinegar,,0,0,0,0,unknown,,<na>,en:denmark
ØGO basilikumpesto,B,1,1,1,0,Pestos,"en:organic,en:eu-organic,en:non-eu-agriculture,en:eu-agriculture,en:eu-non-eu-agriculture,en:it-bio-009",<na>,en:denmark
Ananas i stykker,B,1,0,0,0,Pineapple,,<na>,en:denmark
Ekstra Jomfru Oliven Olie,,0,0,0,0,unknown,,<na>,en:denmark
English Sauce,,0,0,0,0,unknown,,<na>,en:denmark
Grill Hakkebøffer,,0,0,1,0,unknown,,<na>,en:denmark
Udenlandske Kartofler,,0,0,1,0,unknown,,<na>,en:denmark
Energy Snack Kakao Fudge,,0,0,0,0,unknown,,<na>,en:denmark
Wienerpølser,,0,0,1,0,unknown,,<na>,en:denmark
Hytteost 4%,,0,0,0,0,Cottage cheeses,,<na>,en:denmark
Cheasy,B,1,0,0,0,Skyrs,,<na>,en:denmark
Danskvand med brus,,0,0,1,0,Waters,,<na>,en:denmark
Sojasauce,,0,0,0,0,unknown,,<na>,en:denmark
Chili Sauce,,0,0,0,0,unknown,,<na>,en:denmark
Skrabe Æg,,0,0,1,0,unknown,,<na>,en:denmark
Fuldkornssandwich,,0,0,0,0,Breads,"en:keyhole,en:whole-grain",<na>,en:denmark
"Hytteost 1,5% Fedt",,0,0,0,0,unknown,,<na>,en:denmark
Naturli,,0,0,0,0,Plant-based milk alternatives,,<na>,en:denmark
naturli,A,1,1,0,0,da:havredrik,"en:organic,en:eu-organic,en:non-eu-agriculture,en:dk-øko-100,en:eu-agriculture,en:eu-non-eu-agriculture,en:green-dot,en:no-added-sugar",<na>,en:denmark
Peanutbutter Crunchy,,0,0,0,0,unknown,,<na>,en:denmark
Smooth Peanutbutter,,0,0,0,0,unknown,,<na>,en:denmark
Peanutbutter,D,0,0,0,0,Peanut butters,,<na>,en:denmark
Smooth,,0,0,0,0,unknown,en:100-natural,<na>,en:denmark
Almond Butter,,0,0,0,0,unknown,,<na>,en:denmark
Whey 100,,0,0,0,0,unknown,,<na>,en:denmark
Kylling Bryst Pålæg,,0,0,1,0,unknown,,<na>,en:denmark
Creamy Cookie Dough,,0,0,0,0,unknown,,<na>,en:denmark
Hakket Oksekød 4-7%,,0,0,1,0,unknown,,<na>,en:denmark
Danskvand med nrus,,0,0,1,0,unknown,,<na>,en:denmark
æble og hyldeblomstsaft,,0,0,1,0,unknown,,<na>,en:denmark
Creme fraiche dressing,D,0,0,0,0,Salad dressings,,<na>,en:denmark
Remoulade Let,,0,0,1,0,unknown,,<na>,en:denmark
Mandler med røgsmag,,0,0,1,0,unknown,,<na>,en:denmark
Organic pasta sauce with garlic,,0,1,0,1,Pasta sauces,"en:organic,en:eu-organic",<na>,en:denmark
Fiber Riskiks,,0,0,0,0,unknown,,<na>,en:denmark
Food To Go Chocolate Caramel,,0,0,0,0,unknown,,<na>,en:denmark
Cæsersalat Med Pasta,,0,0,1,0,unknown,,<na>,en:denmark
Protein Shake,,0,0,0,0,unknown,,<na>,en:denmark
Teriyaki Kyllingespyd,,0,0,0,0,unknown,,<na>,en:denmark
Surdejen Boller,,0,0,0,0,unknown,,<na>,en:denmark
Galette bretonne pur beurre,C,0,0,0,0,Shortbread cookies from Brittany,,<na>,en:denmark
Magnesium (glycinate),,0,0,0,0,Dietary supplements,en:no-gluten,<na>,en:denmark
Forårs Blanding,,0,0,1,0,unknown,,<na>,en:denmark
Classic Spanish Potato Chips Lightly Salted,,0,0,0,0,unknown,,<na>,en:denmark
Yuzuka,,0,0,0,0,unknown,,<na>,en:denmark
Chicken kabab,,0,0,0,0,unknown,,<na>,en:denmark
Black Seedless Grapes,,0,0,0,0,unknown,,<na>,en:denmark
Chili Paste,,0,0,0,0,unknown,,<na>,en:denmark
String Cheese,D,0,0,0,0,String cheeses,,<na>,en:denmark
Mixed Cheese Curds,,0,0,0,0,unknown,,<na>,en:denmark
Active Whey,,0,0,0,0,unknown,,<na>,en:denmark
Chokoladekage,,0,0,0,0,Cake mixes,en:made-in-france,<na>,en:denmark
G fuel pewdipie,,0,0,0,0,unknown,,<na>,en:denmark
Sparkling Water,,0,0,0,0,unknown,,<na>,en:denmark
Chai Pulver,,0,0,0,0,unknown,,<na>,en:denmark
Firm Silken Tofu,,0,0,0,0,unknown,,<na>,en:denmark
Bread crumbs,,0,0,0,0,Bread crumbs,"en:low-or-no-fat,en:low-fat",<na>,"en:croatia,en:czech-republic,en:denmark,en:finland,en:france,en:germany,en:hungary,en:italy,en:netherlands,en:norway,en:poland,en:spain,en:sweden,en:united-kingdom"
Spicy Miso Ramen,,0,0,0,0,Noodles,"en:no-gmos,en:non-gmo-project",<na>,en:denmark
Protein Raspberry Yogurt Drink,,0,0,0,0,unknown,,<na>,en:denmark
Müsli,,0,0,0,0,unknown,,<na>,en:denmark
Soya Protein Isolate Chocolate,,0,0,0,0,unknown,,<na>,en:denmark
Roasted & Salted Cashews,E,0,0,0,0,Cashew nuts,,<na>,en:denmark
Hvedegluten (Vital Wheat Gluten),,0,0,0,0,unknown,,<na>,en:denmark
Lyoner pålægspølse,,0,0,1,0,unknown,,<na>,en:denmark
Risotto Rice,,0,0,0,0,unknown,,<na>,en:denmark
Mellemlagret,,0,0,0,0,unknown,,<na>,en:denmark
Lyoner pålægspølse,,0,0,1,0,unknown,,<na>,en:denmark
Super smooth belgian 70% dark chocolate bars,,0,0,0,0,unknown,,<na>,en:denmark
Iced Tea Peach,,0,0,0,0,unknown,,<na>,en:denmark
BUBBLE FIZZ,,0,0,0,0,unknown,,<na>,en:denmark
15 Mini Flutes,,0,0,0,0,unknown,,<na>,en:denmark
boghvedegryn,,0,0,0,0,da:gryn,,<na>,"en:denmark,en:italy"
Ekologisk Ost Blåmögel (36% MG),B,1,1,1,0,Pasteurized cheeses,"en:organic,en:eu-organic,en:dk-øko-100,en:green-dot",<na>,"en:denmark,en:france,en:united-kingdom"
Pressed Orange With Pulp,,0,0,0,0,unknown,,<na>,en:denmark
Juice,,0,0,0,0,unknown,,<na>,en:denmark
pesto,D,0,0,0,0,Groceries,,<na>,en:denmark
Beyond Sausage Bratwurst 2 stk,,0,0,0,0,unknown,"en:no-gluten,en:vegetarian-society-approved",<na>,en:denmark
Økologisk Solsikke Rugbrød,,0,1,1,1,Breads,"en:organic,en:eu-organic,en:danish-state-controlled-organic,en:dk-øko-100",<na>,en:denmark
chorizo,E,0,0,0,0,Chorizo,,<na>,en:denmark
Mini Fourrés Fraise,,0,0,0,0,unknown,,<na>,en:denmark
wasa glutenfri laktosfri naturell,,0,0,0,0,Crispbreads,"en:vegetarian,en:vegan",<na>,en:denmark
Caramel Choco,,0,0,0,0,unknown,,<na>,en:denmark
Coco Choco Soft Protein Bar,,0,0,0,0,Protein bars,en:no-added-sugar,<na>,en:denmark
Monty Chocolate,,0,0,0,0,Protein bars,en:no-added-sugar,<na>,en:denmark
Spring rolls,C,0,0,0,0,Spring rolls,,<na>,en:denmark
Ananassaft,D,0,0,0,0,Pineapple juices,,<na>,en:denmark
Skyr pfirsich,,0,0,1,0,unknown,,<na>,en:denmark
fungi bøf,,0,1,1,0,Plant-based foods,"en:organic,en:eu-organic,en:danish-state-controlled-organic,en:dk-øko-100,da:cradle-to-cradle",<na>,en:denmark
husk,,0,0,0,0,unknown,,<na>,en:denmark
Squash Sporstvand (sukkerfri),,0,0,0,0,unknown,,<na>,en:denmark
Faxe Kondi Appelsin 0 Kalorier,,0,0,0,0,Sodas,,<na>,en:denmark
Trinity,,0,0,0,0,unknown,,<na>,en:denmark
Marshmallows,,0,0,0,0,unknown,,<na>,en:denmark
Luksusrogn,,0,0,0,0,Fish preparations,,<na>,en:denmark
Christmas Mazarin Cake,,0,0,0,0,unknown,,<na>,en:denmark
Mørbradgryde,,0,0,1,0,unknown,,<na>,en:denmark
Smoothie Æble Banan Jordbær,,0,0,1,0,unknown,,<na>,en:denmark
Silkeskåret Kylling,,0,0,1,0,unknown,,<na>,en:denmark
Søde sprøde løse majs,,0,0,1,0,unknown,,<na>,en:denmark
Harboe Cola,,0,0,0,0,unknown,,<na>,en:denmark
Mørbrad Gryde,,0,0,1,0,unknown,,<na>,en:denmark
Kylling,,0,0,0,0,unknown,,<na>,en:denmark
Pålækker Hamburgerryg,,0,0,1,0,Sliced-ham,en:tykkere-skiver,<na>,en:denmark
Hamburgerryg,,0,0,0,0,unknown,,<na>,en:denmark
Rullepølse Med Krydderier Og Løg,,0,0,1,0,unknown,,<na>,en:denmark
Pulled pork,,0,0,0,0,unknown,,<na>,en:denmark
Kyllingebryst Bacon,,0,0,0,0,unknown,,<na>,en:denmark
chili chedda,,0,0,0,0,unknown,,<na>,en:denmark
Kalkunbacon,,0,0,0,0,unknown,,<na>,en:denmark
Filet A La Mørbrad Tomat & Ramsløg,,0,0,1,0,unknown,,<na>,en:denmark
Vanilje Sirup,,0,0,0,0,Syrups,,<na>,en:denmark
Pizzadej Fersk,,0,0,0,0,unknown,,<na>,en:denmark
quality,,0,0,0,0,unknown,,<na>,en:denmark
Soy Sauce,,0,0,0,0,unknown,,<na>,en:denmark
Semințe pestrițe,,0,0,0,0,unknown,,<na>,en:denmark
Sahne-Heringsfilets,,0,0,0,0,de:eingelegte-sahneheringsfilet,"en:sustainable,en:sustainable-fishery,en:sustainable-seafood-msc,de:eigenmarke-von-rewe",<na>,"en:denmark,en:germany"
Barre énergétique Citron Gingembre,A,1,1,0,0,Energy bars,"en:organic,en:vegetarian,en:eu-organic,en:non-eu-agriculture,en:vegan,en:1-for-the-planet,en:eu-agriculture,en:eu-non-eu-agriculture,en:gb-org-05,en:the-vegan-society",<na>,"en:belgium,en:denmark,en:france,en:germany,en:malaysia,en:netherlands,en:norway,en:sweden,en:united-kingdom"
Magnesium pluc C-Vitalis,,0,0,0,0,unknown,,<na>,en:denmark
Whey isolate 100%,,0,0,0,0,Protein powders,,<na>,en:denmark
Protein Power,,0,0,0,0,Protein powders,,<na>,en:denmark
Cornflakes Gluten Free,,0,1,0,0,es:cereales-organicos,"en:no-gluten,en:organic,en:eu-organic,fr:certifie-ecosocial-par-ibd",<na>,en:denmark
Mørk chokolade,C,0,1,1,0,Dark chocolates,"en:vegetarian,en:organic,en:eu-organic,en:vegan,en:danish-state-controlled-organic,en:dk-øko-100,en:no-lactose,da:fairtransport-med-sejlbåd,da:mindst-70-kakao",<na>,en:denmark
Speisequark,D,0,0,0,0,pt:queijos-frescos-quark,"en:green-dot,en:nutriscore,en:nutriscore-grade-a,es:recicla-amarillo,pt:ecoponto-amarelo",<na>,"en:austria,en:denmark,en:finland,en:germany,en:portugal,en:spain,en:sweden"
Champignons III. Wahl in Scheiben,A,1,0,0,0,Canned champignon mushrooms,"en:nutriscore,en:nutriscore-grade-a,fr:tidy-man",<na>,"en:belgium,en:czech-republic,en:denmark,en:france,en:germany,en:portugal,en:spain"
White Asparagus,A,1,0,0,0,Canned asparagus,"en:green-dot,da:fremstillet-i-kina",<na>,"en:denmark,en:france,en:germany,en:spain,en:switzerland"
Cerneaux de Noix,E,0,0,0,0,Walnut kernels,"en:low-or-no-salt,en:vegetarian,en:omega-3,en:vegan,en:high-in-omega-3,en:no-added-salt,en:nutriscore,en:nutriscore-grade-a,fr:triman",<na>,"en:austria,en:belgium,en:bulgaria,en:croatia,en:denmark,en:france,en:germany,en:italy,en:netherlands,en:poland,en:portugal,en:romania,en:serbia,en:spain"
Knäckebrot Wholegrain Rye Crispbread,,0,0,0,0,Crispbreads,"en:green-dot,pt:ecoponto-azul",<na>,"en:denmark,en:finland,en:germany,en:italy,en:portugal,en:spain,en:sweden,en:united-kingdom"
fiberknas,,0,0,0,0,da:ymerdrys,,<na>,en:denmark
Iodised Salt,A,1,0,0,0,da:mineral,"en:made-in-germany,en:nutriscore,en:nutriscore-grade-b",<na>,"en:denmark,en:poland"
Chili Mayo Lidl,,0,0,0,0,unknown,,<na>,en:denmark
Kermajuustoviipale 26%,D,0,0,0,0,Sliced cheeses,,<na>,"en:denmark,en:finland,en:france,en:sweden"
Mozzarella grated,D,0,0,0,0,Grated Mozzarella,"en:vegetarian,en:european-vegetarian-union,en:european-vegetarian-union-vegetarian,en:green-dot,pt:ecoponto-amarelo",<na>,"en:bulgaria,en:croatia,en:cyprus,en:denmark,en:finland,en:france,en:germany,en:portugal,en:romania,en:sweden"
Paté Grøn Peber,,0,0,1,0,Meats and their products,en:made-in-belgium,<na>,en:denmark
ice tea,,0,0,0,0,unknown,,<na>,en:denmark
